*	Question	Answer
	Why is Java a platform independent language?	Java language was developed in such a way that it does not depend on any hardware or software due to the fact that the compiler compiles the code and then converts it to platform-independent byte code which can be run on multiple systems.
	Why is Java not a pure object oriented language?	Java supports primitive data types - byte, boolean, char, short, int, float, long, and double and hence it is not a pure object oriented language.
	Difference between Heap and Stack Memory in java. And how java utilizes this.	Stack memory is the portion of memory that was assigned to every individual program. And it was fixed. On the other hand, Heap memory is the portion that was not allocated to the java program but it will be available for use by the java program when it is required, mostly during the runtime of the program.
	Can java be said to be the complete object-oriented programming language?	It is not wrong if we claim that java is the complete object-oriented programming language. Because Everything in Java is under the classes. And we can access that by creating the objects.
	How is Java different from C++?	C++ is only a  compiled language, whereas Java is compiled as well as an interpreted language.
	Pointers are used in C/ C++. Why does Java not make use of pointers?	Pointers are quite complicated and unsafe to use by beginner programmers. Java focuses on code simplicity, and the usage of pointers can make it challenging. Pointer utilization can also cause potential errors. Moreover, security is also compromised if pointers are used because the users can directly access memory with the help of pointers.
	What do you understand by an instance variable and a local variable?	Instance variables are those variables that are accessible by all the methods in the class. They are declared outside the methods and inside the class. These variables describe the properties of an object and remain bound to it at any cost.
	What are the default values assigned to variables and instances in java?	There are no default values assigned to the variables in java. We need to initialize the value before using it. Otherwise, it will throw a compilation error of (Variable might not be initialized). 
	What do you mean by data encapsulation?	Data Encapsulation is an Object-Oriented Programming concept of hiding the data attributes and their behaviours in a single unit.
	Tell us something about JIT compiler.	JIT stands for Just-In-Time and it is used for improving the performance during run time. It does the task of compiling parts of byte code having similar functionality at the same time thereby reducing the amount of compilation time for the code to run.
	What is a ClassLoader?	A classloader in Java is a subsystem of Java Virtual Machine, dedicated to loading class files when a program is executed; ClassLoader is the first to load the executable file.
	What are the Memory Allocations available in JavaJava?	Java has five significant types of memory allocations. Class Memory, Heap Memory, Stack Memory, Program Counter-Memory, Native Method Stack Memory
	What are the differences between Heap and Stack Memory in Java?	Stack is generally used to store the order of method execution and local variables. In contrast, Heap memory is used to store the objects. After storing, they use dynamic memory allocation and deallocation.
	Will the program run if we write static public void main?	Yes, the program will successfully execute if written so. Because, in Java, there is no specific rule for the order of specifiers
	What is the default value stored in Local Variables?	Neither the Local Variables nor any primitives and Object references have any default value stored in them.
	"System.out.println(100 + 100 +“Simplilearn"");   "	200Simplilearn
	"System.out.println(“E-Learning Company"" + 100 + 100);  "	E-Learning Company100100
	What is an Association?	An Association can be defined as a relationship that has no ownership over another. For example, a person can be associated with multiple banks, and a bank can be related to various people, but no one can own the other.
	What do you mean by aggregation?	The term aggregation refers to the relationship between two classes best described as a “whole/part” and “has-a” relationship. This kind is the most specialized version of an association relationship. It contains the reference to another class and is said to have ownership of that class.
	Define Copy Constructor in Java	A Copy Constructor in Java is a constructor that initializes an object through another object of the same class.
	What is a Marker Interface?	An empty interface in Java is referred to as a Marker interface. Serializable and Cloneable are some famous examples of Marker Interface. 
	What is Object Cloning?	An ability to recreate an object entirely similar to an existing object is known as Object Cloning in Java. Java provides a clone() method to clone a current object offering the same functionality as the original object.
	Why is Java not completely object-oriented?	Java is not considered as a 100% object-oriented programming language because it still makes use of eight or more primitive data types like int, float double, etc.
	What is an object-oriented paradigm?	A Paradigm that is based on the concepts of “Objects.” It contains data and code. Data that is in the form of fields, and regulation, that is in the form of procedures. The exciting feature of this paradigm is that the object’s procedures can access and often modify the data fields themselves.
	Define Wrapper Classes in Java.	In Java, when you declare primitive datatypes, then Wrapper classes are responsible for converting them into objects(Reference types). 
	Define Singleton Classes in Java.	In Java, when you make the constructor of a class private, that particular class can generate only one object. This type of class is popularly known as a Singleton Class.
	Define package in Java.	The package is a collective bundle of classes and interfaces and the necessary libraries and JAR files. The use of packages helps in code reusability.
	Can you implement pointers in a Java Program?	Java Virtual Machine takes care of memory management implicitly. Java's primary motto was to keep programming simple. So, accessing memory directly through pointers is not a recommended action. Hence, pointers are eliminated in Java. 
	Differentiate between instance and local variables.	For instance, variables are declared inside a class, and the scope is limited to only a specific object. A local variable can be anywhere inside a method or a specific block of code. Also, the scope is limited to the code segment where the variable is declared.
	Explain Java String Pool.	A collection of strings in Java's Heap memory is referred to as Java String Pool. In case you try to create a new string object, JVM first checks for the presence of the object in the pool. If available, the same object reference is shared with the variable, else a new object is created.
